city,state,city_lat,city_lon,city_coord
DOURADOS,MS,-22.2206145,-54.812208,"-22.2206145,-54.812208"
FLORIANOPOLIS,SC,-27.5973002,-48.5496098,"-27.5973002,-48.5496098"
FORTALEZA,CE,-3.7304512,-38.5217989,"-3.7304512,-38.5217989"
FOZ DO IGUACU,PR,-25.5401479,-54.5858139,"-25.5401479,-54.5858139"
FRANCISCO BELTRAO,PR,-26.0790979,-53.0533527,"-26.0790979,-53.0533527"
GAROPABA,SC,-28.0274798,-48.6240197,"-28.0274798,-48.6240197"
GOIANIA,GO,-16.64722925,-49.16088013,"-16.64722925,-49.16088013202423"
GUAIRA,PR,-24.0851924,-54.2567519,"-24.0851924,-54.2567519"
GUAMIRANGA,PR,-25.1909033,-50.8116961,"-25.1909033,-50.8116961"
GUARANIACU,PR,-25.10035,-52.867811,"-25.10035,-52.867811"
GUARAPUAVA,PR,-25.3950986,-51.4622016,"-25.3950986,-51.4622016"
GUARATUBA,PR,-25.8806192,-48.5750905,"-25.8806192,-48.5750905"
GURUPI,TO,-11.72794,-49.068046,"-11.72794,-49.068046"
IBEMA,PR,-25.1192916,-53.0071928,"-25.1192916,-53.0071928"
IGUAPE,SP,-24.7042692,-47.5563733,"-24.7042692,-47.5563733"
IJUI,RS,-28.3878734,-53.9201692,"-28.3878734,-53.9201692"
IMBAU,PR,-24.43833715,-50.75070775,"-24.438337150000002,-50.750707752941175"
IMBE,RS,-29.9766491,-50.1278714,"-29.9766491,-50.1278714"
IMBITUBA,SC,-28.241827,-48.6643444,"-28.241827,-48.6643444"
IMBITUVA,PR,-25.2293338,-50.6051002,"-25.2293338,-50.6051002"
IPANEMA,PR,-30.1390847,-51.2243699,"-30.1390847,-51.2243699"
IRATI,PR,-25.469663,-50.649287,"-25.469663,-50.649287"
ITAIPULANDIA,PR,-25.1417007,-54.2980691,"-25.1417007,-54.2980691"
ITAJAI,SC,-26.9117879,-48.6669852,"-26.9117879,-48.6669852"
ITAPEMA,SC,-27.0988126,-48.64454839,"-27.0988126,-48.64454838500228"
ITATIBA,SP,-22.9965861,-46.8412042,"-22.9965861,-46.8412042"
IVAI,PR,-25.0069795,-50.8568896,"-25.0069795,-50.8568896"
JACUPIRANGA,SP,-24.703773,-48.0060639,"-24.703773,-48.0060639"
JAGUARIUNA,SP,-22.70374,-46.985062,"-22.70374,-46.985062"
JOAO PESSOA,PB,-7.1215981,-34.882028,"-7.1215981,-34.882028"
JOINVILLE,SC,-26.3044898,-48.8486726,"-26.3044898,-48.8486726"
LAGUNA,SC,-28.4837443,-48.7816572,"-28.4837443,-48.7816572"
LARANJEIRAS DO SUL,PR,-25.4073197,-52.4150132,"-25.4073197,-52.4150132"
LONDRINA,PR,-23.3112878,-51.1595023,"-23.3112878,-51.1595023"
LUIS EDUARDO MAGALHAES,BA,-12.0869117,-45.7834163,"-12.0869117,-45.7834163"
MACEIO,AL,-9.6476843,-35.7339264,"-9.6476843,-35.7339264"
MAFRA,SC,-26.1150943,-49.8035982,"-26.1150943,-49.8035982"
MARECHAL CANDIDO RONDON,PR,-24.5582532,-54.0587821,"-24.5582532,-54.0587821"
